(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1309.0, 0.1, 335.7)
(1308.9, 0.1, 335.7)
(1308.9, 0.1, 335.7)
(1308.8, 0.1, 335.7)
(1308.7, 0.1, 335.7)
(1308.6, 0.1, 335.7)
(1308.5, 0.1, 335.7)
(1308.4, 0.1, 335.7)
(1308.2, 0.1, 335.7)
(1308.0, 0.1, 335.8)
(1307.8, 0.1, 335.8)
(1307.6, 0.1, 335.8)
(1307.4, 0.1, 335.8)
(1307.2, 0.1, 335.8)
(1307.0, 0.1, 335.8)
(1306.7, 0.1, 335.8)
(1306.6, 0.1, 335.8)
(1306.3, 0.1, 335.8)
(1306.1, 0.1, 335.8)
(1305.9, 0.1, 335.8)
(1305.7, 0.1, 335.8)
(1305.5, 0.1, 335.8)
(1305.2, 0.1, 335.8)
(1305.0, 0.1, 335.9)
(1304.8, 0.1, 335.9)
(1304.6, 0.1, 335.9)
(1304.4, 0.1, 335.9)
(1304.2, 0.1, 335.9)
(1304.0, 0.1, 335.9)
(1303.8, 0.1, 335.9)
(1303.7, 0.1, 335.9)
(1303.5, 0.1, 335.9)
(1303.3, 0.1, 335.9)
(1303.1, 0.1, 335.9)
(1302.9, 0.1, 335.9)
(1302.8, 0.1, 335.9)
(1302.6, 0.1, 335.9)
(1302.4, 0.1, 335.9)
(1302.2, 0.1, 336.0)
(1302.1, 0.1, 336.0)
(1301.9, 0.1, 336.0)
(1301.7, 0.1, 336.0)
(1301.6, 0.1, 336.0)
(1301.4, 0.1, 336.0)
